Fall,College,Major Name,Total,Male,Female
2007.0,KP ,Electrical Engineering ,767.0,685.0,82.0
2007.0,KP ,Engineering Mechanics ,49.0,37.0,12.0
2007.0,KP ,Engineering Physics ,134.0,121.0,13.0
2007.0,KP ,General Engineering ,587.0,470.0,116.0
2007.0,KP ,Industrial Engineering ,67.0,46.0,21.0
2007.0,KP ,Materials Science & Engr ,238.0,185.0,53.0
2007.0,KP ,Mechanical Engineering ,858.0,756.0,100.0
2007.0,KP ,Nuclear Engineering ,105.0,86.0,19.0
2007.0,KR ,Architectural Studies ,547.0,300.0,247.0
2007.0,KR ,Art Education ,77.0,10.0,67.0
2007.0,KR ,Crafts ,22.0,5.0,17.0
2007.0,KR ,Dance ,66.0,8.0,58.0
2007.0,KR ,Graphic Design ,78.0,26.0,52.0
2007.0,KR ,History of Art ,8.0,0.0,8.0
2007.0,KR ,Industrial Design ,102.0,56.0,46.0
2007.0,KR ,Instrumental Music ,118.0,55.0,63.0
2007.0,KR ,Jazz Performance ,21.0,20.0,1.0
2007.0,KR ,Landscape Architecture ,111.0,76.0,35.0
2007.0,KR ,Music ,17.0,12.0,5.0
2007.0,KR ,Music Composition ,8.0,7.0,1.0
2007.0,KR ,Music Education ,225.0,110.0,115.0
2007.0,KR ,Music History ,2.0,1.0,1.0
2007.0,KR ,Open Studies ,9.0,5.0,4.0
2007.0,KR ,Painting ,41.0,13.0,28.0
2007.0,KR ,Photography ,35.0,15.0,20.0
2007.0,KR ,Sculpture ,12.0,4.0,8.0
2007.0,KR ,Theatre ,74.0,37.0,37.0
2007.0,KR ,Urban Planning ,112.0,69.0,43.0
2007.0,KR ,Voice ,25.0,5.0,20.0
2007.0,KT ,Advertising ,356.0,90.0,266.0
2007.0,KT ,Broadcast Journalism ,75.0,25.0,50.0
2007.0,KT ,Media Studies ,95.0,31.0,64.0
2007.0,KT ,News-Editorial ,143.0,46.0,97.0
2007.0,KV ,Actuarial Science ,281.0,199.0,82.0
2007.0,KV ,Anthropology ,159.0,53.0,106.0
2007.0,KV ,Astronomy ,38.0,26.0,12.0
2007.0,KV ,Biochemistry ,175.0,99.0,76.0
2007.0,KV ,Bioengineering ,1.0,0.0,1.0
2007.0,KV ,Biology ,31.0,8.0,23.0
2007.0,KV ,Chemical Engineering ,372.0,250.0,122.0
2007.0,KV ,Chemistry ,461.0,238.0,223.0
2007.0,KV ,Classics ,27.0,14.0,13.0
2007.0,KV ,Comparative Literature ,18.0,5.0,13.0
2007.0,KV ,E Asian Languages & Cultures ,64.0,35.0,29.0
2007.0,KV ,"Earth Systems, Env, & Society ",1.0,1.0,0.0
2007.0,KV ,Economics ,760.0,568.0,188.0
2007.0,KV ,English ,903.0,274.0,626.0
2007.0,KV ,Finance ,93.0,60.0,33.0
2007.0,KV ,French ,63.0,12.0,51.0
2007.0,KV ,Geography ,50.0,36.0,14.0
2007.0,KV ,Geology ,59.0,39.0,20.0
2007.0,KV ,Germanic Lang & Lit ,32.0,14.0,17.0
2007.0,KV ,History ,592.0,378.0,212.0
2007.0,KV ,History of Art ,34.0,5.0,29.0
2007.0,KV ,Humanities ,3.0,3.0,0.0
2007.0,KV ,Individual Plans of Study ,6.0,2.0,4.0
2007.0,KV ,Integrative Biology ,292.0,138.0,154.0
2007.0,KV ,Interdisciplinary ,49.0,22.0,27.0
2007.0,KV ,International Studies ,369.0,108.0,261.0
2007.0,KV ,Italian ,7.0,4.0,3.0
2007.0,KV ,Latin American Studies ,7.0,4.0,3.0
2007.0,KV ,Linguistics ,74.0,31.0,43.0
2007.0,KV ,Math & Computer Science ,106.0,99.0,7.0
2007.0,KV ,Mathematics ,350.0,178.0,172.0
2007.0,KV ,Molecular and Cellular Biology ,916.0,454.0,461.0
2007.0,KV ,Music ,1.0,1.0,0.0
2007.0,KV ,Philosophy ,84.0,66.0,18.0
2007.0,KV ,Physics ,164.0,139.0,24.0
2007.0,KV ,Political Science ,1063.0,616.0,445.0
2007.0,KV ,Portuguese ,2.0,1.0,1.0
2007.0,KV ,Psychology ,1335.0,395.0,938.0
2007.0,KV ,Religious Studies ,25.0,14.0,11.0
2007.0,KV ,Rhetoric ,108.0,49.0,59.0
2007.0,KV ,Russian & E European Studies ,5.0,3.0,2.0
2007.0,KV ,Russian Lang & Literature ,4.0,1.0,3.0
2007.0,KV ,Sociology ,488.0,196.0,291.0
2007.0,KV ,Spanish ,294.0,77.0,217.0
2007.0,KV ,Speech Communication ,670.0,295.0,374.0
2007.0,KV ,Statistics ,62.0,44.0,18.0
2007.0,KV ,Statistics & Computer Science ,8.0,6.0,2.0
2007.0,KV ,Teaching of French ,3.0,0.0,3.0
2007.0,KV ,Teaching of German ,4.0,1.0,3.0
2007.0,KV ,Teaching of Spanish ,31.0,2.0,29.0
2007.0,KY ,Community Health ,491.0,112.0,379.0
2007.0,KY ,Kinesiology ,589.0,229.0,359.0
2007.0,KY ,Leisure Studies ,15.0,11.0,4.0
2007.0,KY ,"Recreation, Sport, and Tourism ",354.0,224.0,129.0
2007.0,KY ,Speech & Hearing Science ,274.0,13.0,261.0
2007.0,LE ,Aviation Human Factors ,163.0,149.0,14.0
2008.0,KL ,Agr & Consumer Economics ,625.0,423.0,201.0
2008.0,KL ,Agr & Environmental Cmc & Educ ,73.0,15.0,58.0
2008.0,KL ,Agr Engineering & Agr Science ,54.0,47.0,7.0
2008.0,KL ,"Agribusiness, Farm & Financial ",31.0,26.0,5.0
2008.0,KL ,Animal Sciences ,541.0,116.0,424.0
2008.0,KL ,Crop Sciences ,76.0,54.0,22.0
2008.0,KL ,Food Science & Human Nutrition ,336.0,75.0,261.0
2008.0,KL ,Horticulture ,57.0,36.0,21.0
2008.0,KL ,Human Development & Family St ,211.0,9.0,202.0
2008.0,KL ,"Intl, Resource, Consumer Econ ",20.0,13.0,7.0
2008.0,KL ,Natural Resrcs & Environ Sci ,177.0,87.0,89.0
2008.0,KL ,Technical Systems Management ,105.0,98.0,7.0
2008.0,KM ,Accountancy ,750.0,428.0,321.0
2008.0,KM ,Business Administration ,206.0,92.0,114.0
2008.0,KM ,Business Process Management ,6.0,3.0,3.0
2008.0,KM ,Finance ,598.0,409.0,188.0
2008.0,KM ,Information Sys & Info Tech ,25.0,19.0,6.0
2008.0,KM ,Management ,84.0,41.0,43.0
2008.0,KM ,Marketing ,102.0,39.0,63.0
2008.0,KM ,Supply Chain Management ,24.0,16.0,8.0
2008.0,KN ,Early Childhood Education ,55.0,1.0,53.0
2008.0,KN ,Elementary Education ,261.0,16.0,245.0
2008.0,KN ,Special Education ,67.0,8.0,59.0
2008.0,KP ,Aerospace Engineering ,418.0,369.0,49.0
2008.0,KP ,Agricultural Engineering ,51.0,42.0,9.0
2008.0,KP ,Bioengineering ,135.0,77.0,58.0
2008.0,KP ,Civil Engineering ,667.0,505.0,161.0
2008.0,KP ,Computer Engineering ,446.0,398.0,46.0
2008.0,KP ,Computer Science ,628.0,561.0,66.0
2008.0,KP ,Electrical Engineering ,799.0,713.0,85.0
2008.0,KP ,Engineering Mechanics ,75.0,61.0,13.0
2008.0,KP ,Engineering Physics ,131.0,118.0,13.0
2008.0,KP ,General Engineering ,540.0,409.0,131.0
2008.0,KP ,Industrial Engineering ,87.0,62.0,25.0
2008.0,KP ,Materials Science & Engr ,275.0,218.0,57.0
2008.0,KP ,Mechanical Engineering ,860.0,757.0,101.0
2008.0,KP ,Nuclear Engineering ,107.0,95.0,12.0
2008.0,KR ,Architectural Studies ,578.0,322.0,256.0
2008.0,KR ,Art Education ,74.0,11.0,63.0
2008.0,KR ,Crafts ,20.0,5.0,15.0
2008.0,KR ,Dance ,68.0,9.0,59.0
2008.0,KR ,Graphic Design ,71.0,22.0,49.0
2008.0,KR ,History of Art ,13.0,1.0,12.0
2008.0,KR ,Industrial Design ,107.0,57.0,50.0
2008.0,KR ,Instrumental Music ,102.0,47.0,55.0
2008.0,KR ,Jazz Performance ,38.0,35.0,3.0
2008.0,KR ,Landscape Architecture ,111.0,69.0,42.0
2008.0,KR ,Music ,21.0,11.0,10.0
2008.0,KR ,Music Composition ,9.0,6.0,3.0
2008.0,KR ,Music Education ,238.0,117.0,121.0
2008.0,KR ,Music History ,2.0,1.0,1.0
2008.0,KR ,New Media ,15.0,8.0,7.0
2008.0,KR ,Open Studies ,12.0,8.0,4.0
2008.0,KR ,Painting ,35.0,11.0,24.0
2008.0,KR ,Photography ,29.0,13.0,16.0
2008.0,KR ,Sculpture ,10.0,2.0,8.0
2008.0,KR ,Theatre ,80.0,39.0,41.0
2008.0,KR ,Urban Planning ,103.0,66.0,37.0
2008.0,KR ,Voice ,35.0,7.0,28.0
2008.0,KT ,Advertising ,433.0,128.0,305.0
2008.0,KT ,Broadcast Journalism ,138.0,38.0,100.0
2008.0,KT ,Media Studies ,102.0,31.0,71.0
2008.0,KT ,News-Editorial ,219.0,64.0,155.0
2008.0,KV ,Actuarial Science ,294.0,189.0,105.0
2008.0,KV ,African American Studies ,1.0,1.0,0.0
2008.0,KV ,Anthropology ,182.0,60.0,122.0
2008.0,KV ,Astronomy ,47.0,34.0,13.0
2008.0,KV ,Atmospheric Sciences ,41.0,27.0,13.0
2008.0,KV ,Biochemistry ,131.0,82.0,49.0
2008.0,KV ,Biology ,15.0,8.0,7.0
2008.0,KV ,Chemical Engineering ,415.0,277.0,138.0
2008.0,KV ,Chemistry ,447.0,244.0,203.0
2008.0,KV ,Classics ,30.0,12.0,18.0
2008.0,KV ,Comparative Literature ,16.0,5.0,11.0
2008.0,KV ,E Asian Languages & Cultures ,74.0,38.0,36.0
2008.0,KV ,"Earth Systems, Env, & Society ",65.0,37.0,28.0
2008.0,KV ,Economics ,665.0,502.0,160.0
2008.0,KV ,English ,799.0,241.0,557.0
2008.0,KV ,Finance ,5.0,5.0,0.0
2008.0,KV ,French ,61.0,16.0,45.0
2008.0,KV ,Geography ,34.0,25.0,8.0
2008.0,KV ,Geology ,54.0,35.0,19.0
2008.0,KV ,Germanic Lang & Lit ,34.0,15.0,19.0
2008.0,KV ,History ,537.0,357.0,179.0
2008.0,KV ,History of Art ,44.0,5.0,39.0
2008.0,KV ,Individual Plans of Study ,7.0,4.0,3.0
2008.0,KV ,Integrative Biology ,322.0,153.0,169.0
2008.0,KV ,Interdisciplinary ,65.0,31.0,34.0
2008.0,KV ,International Studies ,402.0,111.0,290.0
2008.0,KV ,Italian ,8.0,3.0,5.0
2008.0,KV ,Latin American Studies ,6.0,2.0,4.0
2008.0,KV ,Linguistics ,67.0,26.0,41.0
2008.0,KV ,Math & Computer Science ,92.0,84.0,8.0
2008.0,KV ,Mathematics ,213.0,113.0,99.0
2008.0,KV ,Molecular and Cellular Biology ,1009.0,499.0,508.0
2008.0,KV ,Philosophy ,90.0,74.0,16.0
2008.0,KV ,Physics ,147.0,126.0,20.0
2008.0,KV ,Political Science ,986.0,593.0,393.0
2008.0,KV ,Psychology ,1263.0,345.0,918.0
2008.0,KV ,Religious Studies ,23.0,12.0,11.0
2008.0,KV ,Rhetoric ,119.0,60.0,59.0
2008.0,KV ,Russian & E European Studies ,4.0,2.0,2.0
2008.0,KV ,Russian Lang & Literature ,4.0,2.0,2.0
2008.0,KV ,"Russian, E Eur, Eurasian St ",1.0,0.0,1.0
2008.0,KV ,Sociology ,470.0,189.0,279.0
2008.0,KV ,Spanish ,249.0,68.0,181.0
2008.0,KV ,Speech Communication ,701.0,296.0,405.0
2008.0,KV ,Statistics ,74.0,47.0,27.0
2008.0,KV ,Statistics & Computer Science ,14.0,11.0,3.0
2008.0,KV ,Teaching of French ,5.0,1.0,4.0
2008.0,KV ,Teaching of German ,2.0,1.0,1.0
2008.0,KV ,Teaching of Spanish ,36.0,2.0,34.0
2008.0,KY ,Community Health ,572.0,118.0,454.0
2008.0,KY ,Kinesiology ,594.0,246.0,347.0
2008.0,KY ,Leisure Studies ,5.0,4.0,1.0
2008.0,KY ,"Recreation, Sport, and Tourism ",358.0,240.0,117.0
2008.0,KY ,Speech & Hearing Science ,278.0,17.0,261.0
2008.0,LE ,Aviation Human Factors ,140.0,127.0,13.0
2009.0,KL ,Agr & Consumer Economics ,569.0,386.0,183.0
2009.0,KL ,Agr & Environmental Cmc & Educ ,82.0,18.0,64.0
2009.0,KL ,Agr Engineering & Agr Science ,69.0,60.0,9.0
2009.0,KL ,"Agribusiness, Farm & Financial ",4.0,3.0,1.0
2009.0,KL ,Animal Sciences ,518.0,114.0,403.0
2009.0,KL ,Crop Sciences ,98.0,69.0,29.0
2009.0,KL ,Food Science & Human Nutrition ,377.0,78.0,299.0
